The original input was: 5 (0 3 200 3) (0 9 500 2) (0 20 500 1) (100 1 100 3) (100 100 500 1) 
The (sorted) input is:  5 (0 3 200 3) (0 9 500 2) (0 20 500 1) (100 1 100 3) (100 100 500 1) 

This detailed printout gives the state and remaining burst for each process

Before cycle    0:   unstarted  0  unstarted  0  unstarted  0  unstarted  0  unstarted  0.
Before cycle   56:       ready  0      ready  0    running  4  unstarted  0  unstarted  0.
Before cycle   57:       ready  0      ready  0    running  3  unstarted  0  unstarted  0.
Before cycle   58:       ready  0      ready  0    running  2  unstarted  0  unstarted  0.
Before cycle   59:       ready  0      ready  0    running  1  unstarted  0  unstarted  0.
Before cycle   60:       ready  0    running  7    blocked 13  unstarted  0  unstarted  0.
Before cycle   61:       ready  0    running  6    blocked 12  unstarted  0  unstarted  0.
Before cycle   62:       ready  0    running  5    blocked 11  unstarted  0  unstarted  0.
Before cycle   63:       ready  0    running  4    blocked 10  unstarted  0  unstarted  0.
Before cycle   64:       ready  0    running  3    blocked  9  unstarted  0  unstarted  0.
Before cycle   65:       ready  0    running  2    blocked  8  unstarted  0  unstarted  0.
Before cycle   66:       ready  0    running  1    blocked  7  unstarted  0  unstarted  0.
Before cycle   67:     running  2    blocked 14    blocked  6  unstarted  0  unstarted  0.
Before cycle   68:     running  1    blocked 13    blocked  5  unstarted  0  unstarted  0.
Before cycle   69:     blocked  6    blocked 12    blocked  4  unstarted  0  unstarted  0.
Before cycle   70:     blocked  5    blocked 11    blocked  3  unstarted  0  unstarted  0.
Before cycle   71:     blocked  4    blocked 10    blocked  2  unstarted  0  unstarted  0.
Before cycle   72:     blocked  3    blocked  9    blocked  1  unstarted  0  unstarted  0.
Before cycle   73:     blocked  2    blocked  8    running  3  unstarted  0  unstarted  0.
Before cycle   74:     blocked  1    blocked  7    running  2  unstarted  0  unstarted  0.
Before cycle   75:       ready  0    blocked  6    running  1  unstarted  0  unstarted  0.
Before cycle   76:     running  2    blocked  5    blocked  3  unstarted  0  unstarted  0.
Before cycle   77:     running  1    blocked  4    blocked  2  unstarted  0  unstarted  0.
Before cycle   78:     blocked  6    blocked  3    blocked  1  unstarted  0  unstarted  0.
Before cycle   79:     blocked  5    blocked  2    running 11  unstarted  0  unstarted  0.
Before cycle   80:     blocked  4    blocked  1    running 10  unstarted  0  unstarted  0.
Before cycle   81:     blocked  3      ready  0    running  9  unstarted  0  unstarted  0.
Before cycle   82:     blocked  2      ready  0    running  8  unstarted  0  unstarted  0.
Before cycle   83:     blocked  1      ready  0    running  7  unstarted  0  unstarted  0.
Before cycle   84:       ready  0      ready  0    running  6  unstarted  0  unstarted  0.
Before cycle   85:       ready  0      ready  0    running  5  unstarted  0  unstarted  0.
Before cycle   86:       ready  0      ready  0    running  4  unstarted  0  unstarted  0.
Before cycle   87:       ready  0      ready  0    running  3  unstarted  0  unstarted  0.
Before cycle   88:       ready  0      ready  0    running  2  unstarted  0  unstarted  0.
Before cycle   89:       ready  0      ready  0    running  1  unstarted  0  unstarted  0.
Before cycle   90:       ready  0    running  8    blocked 11  unstarted  0  unstarted  0.
Before cycle   91:       ready  0    running  7    blocked 10  unstarted  0  unstarted  0.
Before cycle   92:       ready  0    running  6    blocked  9  unstarted  0  unstarted  0.
Before cycle   93:       ready  0    running  5    blocked  8  unstarted  0  unstarted  0.
Before cycle   94:       ready  0    running  4    blocked  7  unstarted  0  unstarted  0.
Before cycle   95:       ready  0    running  3    blocked  6  unstarted  0  unstarted  0.
Before cycle   96:       ready  0    running  2    blocked  5  unstarted  0  unstarted  0.
Before cycle   97:       ready  0    running  1    blocked  4  unstarted  0  unstarted  0.
Before cycle   98:     running  3    blocked 16    blocked  3  unstarted  0  unstarted  0.
Before cycle   99:     running  2    blocked 15    blocked  2  unstarted  0  unstarted  0.
Before cycle  100:     running  1    blocked 14    blocked  1  unstarted  0  unstarted  0.
Before cycle  101:     blocked  9    blocked 13    running  7      ready  0      ready  0.
Before cycle  102:     blocked  8    blocked 12    running  6      ready  0      ready  0.
Before cycle  103:     blocked  7    blocked 11    running  5      ready  0      ready  0.
Before cycle  104:     blocked  6    blocked 10    running  4      ready  0      ready  0.
Before cycle  105:     blocked  5    blocked  9    running  3      ready  0      ready  0.
Before cycle  106:     blocked  4    blocked  8    running  2      ready  0      ready  0.
Before cycle  107:     blocked  3    blocked  7    running  1      ready  0      ready  0.
Before cycle  108:     blocked  2    blocked  6    blocked  7    running  1      ready  0.
Before cycle  109:     blocked  1    blocked  5    blocked  6    blocked  3    running 27.
Before cycle  110:       ready  0    blocked  4    blocked  5    blocked  2    running 26.
Before cycle  111:       ready  0    blocked  3    blocked  4    blocked  1    running 25.
Before cycle  112:       ready  0    blocked  2    blocked  3      ready  0    running 24.
Before cycle  113:       ready  0    blocked  1    blocked  2      ready  0    running 23.
Before cycle  114:       ready  0      ready  0    blocked  1      ready  0    running 22.
Before cycle  115:       ready  0      ready  0      ready  0      ready  0    running 21.
Before cycle  116:       ready  0      ready  0      ready  0      ready  0    running 20.
Before cycle  117:       ready  0      ready  0      ready  0      ready  0    running 19.
Before cycle  118:       ready  0      ready  0      ready  0      ready  0    running 18.
Before cycle  119:       ready  0      ready  0      ready  0      ready  0    running 17.
Before cycle  120:       ready  0      ready  0      ready  0      ready  0    running 16.
Before cycle  121:       ready  0      ready  0      ready  0      ready  0    running 15.
Before cycle  122:       ready  0      ready  0      ready  0      ready  0    running 14.
Before cycle  123:       ready  0      ready  0      ready  0      ready  0    running 13.
Before cycle  124:       ready  0      ready  0      ready  0      ready  0    running 12.
Before cycle  125:       ready  0      ready  0      ready  0      ready  0    running 11.
Before cycle  126:       ready  0      ready  0      ready  0      ready  0    running 10.
Before cycle  127:       ready  0      ready  0      ready  0      ready  0    running  9.
Before cycle  128:       ready  0      ready  0      ready  0      ready  0    running  8.
Before cycle  129:       ready  0      ready  0      ready  0      ready  0    running  7.
Before cycle  130:       ready  0      ready  0      ready  0      ready  0    running  6.
Before cycle  131:       ready  0      ready  0      ready  0      ready  0    running  5.
Before cycle  132:       ready  0      ready  0      ready  0      ready  0    running  4.
Before cycle  133:       ready  0      ready  0      ready  0      ready  0    running  3.
Before cycle  134:       ready  0      ready  0      ready  0      ready  0    running  2.
Before cycle  135:       ready  0      ready  0      ready  0      ready  0    running  1.
Before cycle  136:     running  2      ready  0      ready  0      ready  0    blocked 27.
Before cycle  137:     running  1      ready  0      ready  0      ready  0    blocked 26.
Before cycle  138:     blocked  6      ready  0      ready  0    running  1    blocked 25.
Before cycle  139:     blocked  5    running  9      ready  0    blocked  3    blocked 24.
Before cycle  140:     blocked  4    running  8      ready  0    blocked  2    blocked 23.
Before cycle  141:     blocked  3    running  7      ready  0    blocked  1    blocked 22.
Before cycle  142:     blocked  2    running  6      ready  0      ready  0    blocked 21.
Before cycle  143:     blocked  1    running  5      ready  0      ready  0    blocked 20.
Before cycle  144:       ready  0    running  4      ready  0      ready  0    blocked 19.
Before cycle  145:       ready  0    running  3      ready  0      ready  0    blocked 18.
Before cycle  146:       ready  0    running  2      ready  0      ready  0    blocked 17.
Before cycle  147:       ready  0    running  1      ready  0      ready  0    blocked 16.
Before cycle  148:       ready  0    blocked 18    running  9      ready  0    blocked 15.
Before cycle  149:       ready  0    blocked 17    running  8      ready  0    blocked 14.
Before cycle  150:       ready  0    blocked 16    running  7      ready  0    blocked 13.
Before cycle  151:       ready  0    blocked 15    running  6      ready  0    blocked 12.
Before cycle  152:       ready  0    blocked 14    running  5      ready  0    blocked 11.
Before cycle  153:       ready  0    blocked 13    running  4      ready  0    blocked 10.
Before cycle  154:       ready  0    blocked 12    running  3      ready  0    blocked  9.
Before cycle  155:       ready  0    blocked 11    running  2      ready  0    blocked  8.
Before cycle  156:       ready  0    blocked 10    running  1      ready  0    blocked  7.
Before cycle  157:       ready  0    blocked  9    blocked  9    running  1    blocked  6.
Before cycle  158:     running  1    blocked  8    blocked  8    blocked  3    blocked  5.
Before cycle  159:     blocked  3    blocked  7    blocked  7    blocked  2    blocked  4.
Before cycle  160:     blocked  2    blocked  6    blocked  6    blocked  1    blocked  3.
Before cycle  161:     blocked  1    blocked  5    blocked  5    running  1    blocked  2.
Before cycle  162:     running  3    blocked  4    blocked  4    blocked  3    blocked  1.
Before cycle  163:     running  2    blocked  3    blocked  3    blocked  2      ready  0.
Before cycle  164:     running  1    blocked  2    blocked  2    blocked  1      ready  0.
Before cycle  165:     blocked  9    blocked  1    blocked  1      ready  0    running 63.
Before cycle  166:     blocked  8      ready  0      ready  0      ready  0    running 62.
Before cycle  167:     blocked  7      ready  0      ready  0      ready  0    running 61.
Before cycle  168:     blocked  6      ready  0      ready  0      ready  0    running 60.
Before cycle  169:     blocked  5      ready  0      ready  0      ready  0    running 59.
Before cycle  170:     blocked  4      ready  0      ready  0      ready  0    running 58.
Before cycle  171:     blocked  3      ready  0      ready  0      ready  0    running 57.
Before cycle  172:     blocked  2      ready  0      ready  0      ready  0    running 56.
Before cycle  173:     blocked  1      ready  0      ready  0      ready  0    running 55.
Before cycle  174:       ready  0      ready  0      ready  0      ready  0    running 54.
Before cycle  175:       ready  0      ready  0      ready  0      ready  0    running 53.
Before cycle  176:       ready  0      ready  0      ready  0      ready  0    running 52.
Before cycle  177:       ready  0      ready  0      ready  0      ready  0    running 51.
Before cycle  178:       ready  0      ready  0      ready  0      ready  0    running 50.
Before cycle  179:       ready  0      ready  0      ready  0      ready  0    running 49.
Before cycle  180:       ready  0      ready  0      ready  0      ready  0    running 48.
Before cycle  181:       ready  0      ready  0      ready  0      ready  0    running 47.
Before cycle  182:       ready  0      ready  0      ready  0      ready  0    running 46.
Before cycle  183:       ready  0      ready  0      ready  0      ready  0    running 45.
Before cycle  184:       ready  0      ready  0      ready  0      ready  0    running 44.
Before cycle  185:       ready  0      ready  0      ready  0      ready  0    running 43.
Before cycle  186:       ready  0      ready  0      ready  0      ready  0    running 42.
Before cycle  187:       ready  0      ready  0      ready  0      ready  0    running 41.
Before cycle  188:       ready  0      ready  0      ready  0      ready  0    running 40.
Before cycle  189:       ready  0      ready  0      ready  0      ready  0    running 39.
Before cycle  190:       ready  0      ready  0      ready  0      ready  0    running 38.
Before cycle  191:       ready  0      ready  0      ready  0      ready  0    running 37.
Before cycle  192:       ready  0      ready  0      ready  0      ready  0    running 36.
Before cycle  193:       ready  0      ready  0      ready  0      ready  0    running 35.
Before cycle  194:       ready  0      ready  0      ready  0      ready  0    running 34.
Before cycle  195:       ready  0      ready  0      ready  0      ready  0    running 33.
Before cycle  196:       ready  0      ready  0      ready  0      ready  0    running 32.
Before cycle  197:       ready  0      ready  0      ready  0      ready  0    running 31.
Before cycle  198:       ready  0      ready  0      ready  0      ready  0    running 30.
Before cycle  199:       ready  0      ready  0      ready  0      ready  0    running 29.
Before cycle  200:       ready  0      ready  0      ready  0      ready  0    running 28.
Before cycle  201:       ready  0      ready  0      ready  0      ready  0    running 27.
Before cycle  202:       ready  0      ready  0      ready  0      ready  0    running 26.
Before cycle  203:       ready  0      ready  0      ready  0      ready  0    running 25.
Before cycle  204:       ready  0      ready  0      ready  0      ready  0    running 24.
Before cycle  205:       ready  0      ready  0      ready  0      ready  0    running 23.
Before cycle  206:       ready  0      ready  0      ready  0      ready  0    running 22.
Before cycle  207:       ready  0      ready  0      ready  0      ready  0    running 21.
Before cycle  208:       ready  0      ready  0      ready  0      ready  0    running 20.
Before cycle  209:       ready  0      ready  0      ready  0      ready  0    running 19.
Before cycle  210:       ready  0      ready  0      ready  0      ready  0    running 18.
Before cycle  211:       ready  0      ready  0      ready  0      ready  0    running 17.
Before cycle  212:       ready  0      ready  0      ready  0      ready  0    running 16.
Before cycle  213:       ready  0      ready  0      ready  0      ready  0    running 15.
Before cycle  214:       ready  0      ready  0      ready  0      ready  0    running 14.
Before cycle  215:       ready  0      ready  0      ready  0      ready  0    running 13.
Before cycle  216:       ready  0      ready  0      ready  0      ready  0    running 12.
Before cycle  217:       ready  0      ready  0      ready  0      ready  0    running 11.
Before cycle  218:       ready  0      ready  0      ready  0      ready  0    running 10.
Before cycle  219:       ready  0      ready  0      ready  0      ready  0    running  9.
Before cycle  220:       ready  0      ready  0      ready  0      ready  0    running  8.
Before cycle  221:       ready  0      ready  0      ready  0      ready  0    running  7.
Before cycle  222:       ready  0      ready  0      ready  0      ready  0    running  6.
Before cycle  223:       ready  0      ready  0      ready  0      ready  0    running  5.
Before cycle  224:       ready  0      ready  0      ready  0      ready  0    running  4.
Before cycle  225:       ready  0      ready  0      ready  0      ready  0    running  3.
Before cycle  226:       ready  0      ready  0      ready  0      ready  0    running  2.
Before cycle  227:       ready  0      ready  0      ready  0      ready  0    running  1.
Before cycle  228:       ready  0      ready  0      ready  0    running  1    blocked 63.
Before cycle  229:       ready  0    running  2      ready  0    blocked  3    blocked 62.
Before cycle  230:       ready  0    running  1      ready  0    blocked  2    blocked 61.
Before cycle  231:       ready  0    blocked  4    running 16    blocked  1    blocked 60.
Before cycle  232:       ready  0    blocked  3    running 15      ready  0    blocked 59.
Before cycle  233:       ready  0    blocked  2    running 14      ready  0    blocked 58.
Before cycle  234:       ready  0    blocked  1    running 13      ready  0    blocked 57.
Before cycle  235:       ready  0      ready  0    running 12      ready  0    blocked 56.
Before cycle  236:       ready  0      ready  0    running 11      ready  0    blocked 55.
Before cycle  237:       ready  0      ready  0    running 10      ready  0    blocked 54.
Before cycle  238:       ready  0      ready  0    running  9      ready  0    blocked 53.
Before cycle  239:       ready  0      ready  0    running  8      ready  0    blocked 52.
Before cycle  240:       ready  0      ready  0    running  7      ready  0    blocked 51.
Before cycle  241:       ready  0      ready  0    running  6      ready  0    blocked 50.
Before cycle  242:       ready  0      ready  0    running  5      ready  0    blocked 49.
Before cycle  243:       ready  0      ready  0    running  4      ready  0    blocked 48.
Before cycle  244:       ready  0      ready  0    running  3      ready  0    blocked 47.
Before cycle  245:       ready  0      ready  0    running  2      ready  0    blocked 46.
Before cycle  246:       ready  0      ready  0    running  1      ready  0    blocked 45.
Before cycle  247:     running  3      ready  0    blocked 16      ready  0    blocked 44.
Before cycle  248:     running  2      ready  0    blocked 15      ready  0    blocked 43.
Before cycle  249:     running  1      ready  0    blocked 14      ready  0    blocked 42.
Before cycle  250:     blocked  9      ready  0    blocked 13    running  1    blocked 41.
Before cycle  251:     blocked  8    running  1    blocked 12    blocked  3    blocked 40.
Before cycle  252:     blocked  7    blocked  2    blocked 11    blocked  2    blocked 39.
Before cycle  253:     blocked  6    blocked  1    blocked 10    blocked  1    blocked 38.
Before cycle  254:     blocked  5    running  4    blocked  9      ready  0    blocked 37.
Before cycle  255:     blocked  4    running  3    blocked  8      ready  0    blocked 36.
Before cycle  256:     blocked  3    running  2    blocked  7      ready  0    blocked 35.
Before cycle  257:     blocked  2    running  1    blocked  6      ready  0    blocked 34.
Before cycle  258:     blocked  1    blocked  8    blocked  5    running  1    blocked 33.
Before cycle  259:     running  1    blocked  7    blocked  4    blocked  3    blocked 32.
Before cycle  260:     blocked  3    blocked  6    blocked  3    blocked  2    blocked 31.
Before cycle  261:     blocked  2    blocked  5    blocked  2    blocked  1    blocked 30.
Before cycle  262:     blocked  1    blocked  4    blocked  1    running  1    blocked 29.
Before cycle  263:     running  2    blocked  3      ready  0    blocked  3    blocked 28.
Before cycle  264:     running  1    blocked  2      ready  0    blocked  2    blocked 27.
Before cycle  265:     blocked  6    blocked  1    running 12    blocked  1    blocked 26.
Before cycle  266:     blocked  5      ready  0    running 11      ready  0    blocked 25.
Before cycle  267:     blocked  4      ready  0    running 10      ready  0    blocked 24.
Before cycle  268:     blocked  3      ready  0    running  9      ready  0    blocked 23.
Before cycle  269:     blocked  2      ready  0    running  8      ready  0    blocked 22.
Before cycle  270:     blocked  1      ready  0    running  7      ready  0    blocked 21.
Before cycle  271:       ready  0      ready  0    running  6      ready  0    blocked 20.
Before cycle  272:       ready  0      ready  0    running  5      ready  0    blocked 19.
Before cycle  273:       ready  0      ready  0    running  4      ready  0    blocked 18.
Before cycle  274:       ready  0      ready  0    running  3      ready  0    blocked 17.
Before cycle  275:       ready  0      ready  0    running  2      ready  0    blocked 16.
Before cycle  276:       ready  0      ready  0    running  1      ready  0    blocked 15.
Before cycle  277:       ready  0    running  8    blocked 12      ready  0    blocked 14.
Before cycle  278:       ready  0    running  7    blocked 11      ready  0    blocked 13.
Before cycle  279:       ready  0    running  6    blocked 10      ready  0    blocked 12.
Before cycle  280:       ready  0    running  5    blocked  9      ready  0    blocked 11.
Before cycle  281:       ready  0    running  4    blocked  8      ready  0    blocked 10.
Before cycle  282:       ready  0    running  3    blocked  7      ready  0    blocked  9.
Before cycle  283:       ready  0    running  2    blocked  6      ready  0    blocked  8.
Before cycle  284:       ready  0    running  1    blocked  5      ready  0    blocked  7.
Before cycle  285:       ready  0    blocked 16    blocked  4    running  1    blocked  6.
Before cycle  286:     running  1    blocked 15    blocked  3    blocked  3    blocked  5.
Before cycle  287:     blocked  3    blocked 14    blocked  2    blocked  2    blocked  4.
Before cycle  288:     blocked  2    blocked 13    blocked  1    blocked  1    blocked  3.
Before cycle  289:     blocked  1    blocked 12    running  2      ready  0    blocked  2.
Before cycle  290:       ready  0    blocked 11    running  1      ready  0    blocked  1.
Before cycle  291:       ready  0    blocked 10    blocked  2    running  1      ready  0.
Before cycle  292:     running  3    blocked  9    blocked  1    blocked  3      ready  0.
Before cycle  293:     running  2    blocked  8      ready  0    blocked  2      ready  0.
Before cycle  294:     running  1    blocked  7      ready  0    blocked  1      ready  0.
Before cycle  295:     blocked  9    blocked  6      ready  0      ready  0    running 38.
Before cycle  296:     blocked  8    blocked  5      ready  0      ready  0    running 37.
Before cycle  297:     blocked  7    blocked  4      ready  0      ready  0    running 36.
Before cycle  298:     blocked  6    blocked  3      ready  0      ready  0    running 35.
Before cycle  299:     blocked  5    blocked  2      ready  0      ready  0    running 34.
Before cycle  300:     blocked  4    blocked  1      ready  0      ready  0    running 33.
Before cycle  301:     blocked  3      ready  0      ready  0      ready  0    running 32.
Before cycle  302:     blocked  2      ready  0      ready  0      ready  0    running 31.
Before cycle  303:     blocked  1      ready  0      ready  0      ready  0    running 30.
Before cycle  304:       ready  0      ready  0      ready  0      ready  0    running 29.
Before cycle  305:       ready  0      ready  0      ready  0      ready  0    running 28.
Before cycle  306:       ready  0      ready  0      ready  0      ready  0    running 27.
Before cycle  307:       ready  0      ready  0      ready  0      ready  0    running 26.
Before cycle  308:       ready  0      ready  0      ready  0      ready  0    running 25.
Before cycle  309:       ready  0      ready  0      ready  0      ready  0    running 24.
Before cycle  310:       ready  0      ready  0      ready  0      ready  0    running 23.
Before cycle  311:       ready  0      ready  0      ready  0      ready  0    running 22.
Before cycle  312:       ready  0      ready  0      ready  0      ready  0    running 21.
Before cycle  313:       ready  0      ready  0      ready  0      ready  0    running 20.
Before cycle  314:       ready  0      ready  0      ready  0      ready  0    running 19.
Before cycle  315:       ready  0      ready  0      ready  0      ready  0    running 18.
Before cycle  316:       ready  0      ready  0      ready  0      ready  0    running 17.
Before cycle  317:       ready  0      ready  0      ready  0      ready  0    running 16.
Before cycle  318:       ready  0      ready  0      ready  0      ready  0    running 15.
Before cycle  319:       ready  0      ready  0      ready  0      ready  0    running 14.
Before cycle  320:       ready  0      ready  0      ready  0      ready  0    running 13.
Before cycle  321:       ready  0      ready  0      ready  0      ready  0    running 12.
Before cycle  322:       ready  0      ready  0      ready  0      ready  0    running 11.
Before cycle  323:       ready  0      ready  0      ready  0      ready  0    running 10.
Before cycle  324:       ready  0      ready  0      ready  0      ready  0    running  9.
Before cycle  325:       ready  0      ready  0      ready  0      ready  0    running  8.
Before cycle  326:       ready  0      ready  0      ready  0      ready  0    running  7.
Before cycle  327:       ready  0      ready  0      ready  0      ready  0    running  6.
Before cycle  328:       ready  0      ready  0      ready  0      ready  0    running  5.
Before cycle  329:       ready  0      ready  0      ready  0      ready  0    running  4.
Before cycle  330:       ready  0      ready  0      ready  0      ready  0    running  3.
Before cycle  331:       ready  0      ready  0      ready  0      ready  0    running  2.
Before cycle  332:       ready  0      ready  0      ready  0      ready  0    running  1.
Before cycle  333:       ready  0      ready  0    running 19      ready  0    blocked 38.
Before cycle  334:       ready  0      ready  0    running 18      ready  0    blocked 37.
Before cycle  335:       ready  0      ready  0    running 17      ready  0    blocked 36.
Before cycle  336:       ready  0      ready  0    running 16      ready  0    blocked 35.
Before cycle  337:       ready  0      ready  0    running 15      ready  0    blocked 34.
Before cycle  338:       ready  0      ready  0    running 14      ready  0    blocked 33.
Before cycle  339:       ready  0      ready  0    running 13      ready  0    blocked 32.
Before cycle  340:       ready  0      ready  0    running 12      ready  0    blocked 31.
Before cycle  341:       ready  0      ready  0    running 11      ready  0    blocked 30.
Before cycle  342:       ready  0      ready  0    running 10      ready  0    blocked 29.
Before cycle  343:       ready  0      ready  0    running  9      ready  0    blocked 28.
Before cycle  344:       ready  0      ready  0    running  8      ready  0    blocked 27.
Before cycle  345:       ready  0      ready  0    running  7      ready  0    blocked 26.
Before cycle  346:       ready  0      ready  0    running  6      ready  0    blocked 25.
Before cycle  347:       ready  0      ready  0    running  5      ready  0    blocked 24.
Before cycle  348:       ready  0      ready  0    running  4      ready  0    blocked 23.
Before cycle  349:       ready  0      ready  0    running  3      ready  0    blocked 22.
Before cycle  350:       ready  0      ready  0    running  2      ready  0    blocked 21.
Before cycle  351:       ready  0      ready  0    running  1      ready  0    blocked 20.
Before cycle  352:       ready  0      ready  0    blocked 19    running  1    blocked 19.
Before cycle  353:       ready  0    running  3    blocked 18    blocked  3    blocked 18.
Before cycle  354:       ready  0    running  2    blocked 17    blocked  2    blocked 17.
Before cycle  355:       ready  0    running  1    blocked 16    blocked  1    blocked 16.
Before cycle  356:     running  1    blocked  6    blocked 15      ready  0    blocked 15.
Before cycle  357:     blocked  3    blocked  5    blocked 14    running  1    blocked 14.
Before cycle  358:     blocked  2    blocked  4    blocked 13    blocked  3    blocked 13.
Before cycle  359:     blocked  1    blocked  3    blocked 12    blocked  2    blocked 12.
Before cycle  360:     running  2    blocked  2    blocked 11    blocked  1    blocked 11.
Before cycle  361:     running  1    blocked  1    blocked 10      ready  0    blocked 10.
Before cycle  362:     blocked  6      ready  0    blocked  9    running  1    blocked  9.
Before cycle  363:     blocked  5    running  9    blocked  8    blocked  3    blocked  8.
Before cycle  364:     blocked  4    running  8    blocked  7    blocked  2    blocked  7.
Before cycle  365:     blocked  3    running  7    blocked  6    blocked  1    blocked  6.
Before cycle  366:     blocked  2    running  6    blocked  5      ready  0    blocked  5.
Before cycle  367:     blocked  1    running  5    blocked  4      ready  0    blocked  4.
Before cycle  368:       ready  0    running  4    blocked  3      ready  0    blocked  3.
Before cycle  369:       ready  0    running  3    blocked  2      ready  0    blocked  2.
Before cycle  370:       ready  0    running  2    blocked  1      ready  0    blocked  1.
Before cycle  371:       ready  0    running  1      ready  0      ready  0      ready  0.
Before cycle  372:       ready  0    blocked 18      ready  0    running  1      ready  0.
Before cycle  373:     running  1    blocked 17      ready  0    blocked  3      ready  0.
Before cycle  374:     blocked  3    blocked 16    running  3    blocked  2      ready  0.
